datetime,variable,value
2016-10-06 12:54:55.000,1,1.47
2016-10-06 12:54:55.031,2,1.4744
2016-10-06 12:54:55.062,3,1.4777
2016-10-06 12:54:55.093,4,1.479
2016-10-06 12:54:55.125,5,1.486
2016-10-06 12:54:55.156,6,1.4876
2016-10-06 12:54:55.187,7,1.4964
2016-10-06 12:54:55.218,8,1.5025
2016-10-06 12:54:55.250,9,1.5102
2016-10-06 12:54:55.281,10,1.5183
2016-10-06 12:54:55.312,11,1.5303
2016-10-06 12:54:55.343,12,1.5434
2016-10-06 12:54:55.375,13,1.5607
2016-10-06 12:54:55.406,14,1.5706
2016-10-06 12:54:55.437,15,1.5777
2016-10-06 12:54:55.468,16,1.5842
2016-10-06 12:54:55.500,17,1.5833
2016-10-06 12:54:55.531,18,1.5875
2016-10-06 12:54:55.562,19,1.5718
2016-10-06 12:54:55.593,20,1.5677
2016-10-06 12:54:55.625,21,1.5618
2016-10-06 12:54:55.656,22,1.5502
2016-10-06 12:54:55.687,23,1.5356
2016-10-06 12:54:55.718,24,1.523
2016-10-06 12:54:55.750,25,1.5141
2016-10-06 12:54:55.781,26,1.5023
2016-10-06 12:54:55.812,27,1.4908
2016-10-06 12:54:55.843,28,1.4797
2016-10-06 12:54:55.875,29,1.4728
2016-10-06 12:54:55.906,30,1.4686
2016-10-06 12:54:55.937,31,1.4614
2016-10-06 12:54:55.968,32,1.457
2016-10-06 12:54:56.000,1,1.4521
2016-10-06 12:54:56.031,2,1.4511
2016-10-06 12:54:56.062,3,1.4515
2016-10-06 12:54:56.093,4,1.4522
2016-10-06 12:54:56.125,5,1.455
2016-10-06 12:54:56.156,6,1.4592
2016-10-06 12:54:56.187,7,1.463
2016-10-06 12:54:56.218,8,1.4681
2016-10-06 12:54:56.250,9,1.4742
2016-10-06 12:54:56.281,10,1.4812
2016-10-06 12:54:56.312,11,1.4866
2016-10-06 12:54:56.343,12,1.4917
2016-10-06 12:54:56.375,13,1.4951
2016-10-06 12:54:56.406,14,1.4978
2016-10-06 12:54:56.437,15,1.4995
2016-10-06 12:54:56.468,16,1.5045
2016-10-06 12:54:56.500,17,1.5045
2016-10-06 12:54:56.531,18,1.502
2016-10-06 12:54:56.562,19,1.508
2016-10-06 12:54:56.593,20,1.5079
2016-10-06 12:54:56.625,21,1.5056
2016-10-06 12:54:56.656,22,1.5018
2016-10-06 12:54:56.687,23,1.514
2016-10-06 12:54:56.718,24,1.5088
2016-10-06 12:54:56.750,25,1.5113
2016-10-06 12:54:56.781,26,1.5152
2016-10-06 12:54:56.812,27,1.5151
2016-10-06 12:54:56.843,28,1.5183
2016-10-06 12:54:56.875,29,1.5167
2016-10-06 12:54:56.906,30,1.5232
2016-10-06 12:54:56.937,31,1.5395
2016-10-06 12:54:56.968,32,1.5345
2016-10-06 12:54:57.000,1,1.5474
2016-10-06 12:54:57.031,2,1.5672
2016-10-06 12:54:57.062,3,1.5741
2016-10-06 12:54:57.093,4,1.5711
2016-10-06 12:54:57.125,5,1.5644
2016-10-06 12:54:57.156,6,1.5622
2016-10-06 12:54:57.187,7,1.5541
2016-10-06 12:54:57.218,8,1.5456
2016-10-06 12:54:57.250,9,1.5245
2016-10-06 12:54:57.281,10,1.5187
2016-10-06 12:54:57.312,11,1.5033
2016-10-06 12:54:57.343,12,1.5059
2016-10-06 12:54:57.375,13,1.4956
2016-10-06 12:54:57.406,14,1.485
2016-10-06 12:54:57.437,15,1.475
2016-10-06 12:54:57.468,16,1.4666
2016-10-06 12:54:57.500,17,1.4571
2016-10-06 12:54:57.531,18,1.4491
2016-10-06 12:54:57.562,19,1.4479
2016-10-06 12:54:57.593,20,1.4445
2016-10-06 12:54:57.625,21,1.4552
2016-10-06 12:54:57.656,22,1.4555
2016-10-06 12:54:57.687,23,1.4558
2016-10-06 12:54:57.718,24,1.472
2016-10-06 12:54:57.750,25,1.4809
2016-10-06 12:54:57.781,26,1.4855
2016-10-06 12:54:57.812,27,1.4926
2016-10-06 12:54:57.843,28,1.4955
2016-10-06 12:54:57.875,29,1.5005
2016-10-06 12:54:57.906,30,1.503
2016-10-06 12:54:57.937,31,1.5038
2016-10-06 12:54:57.968,32,1.5064
2016-10-06 12:54:58.000,1,1.5089
2016-10-06 12:54:58.031,2,1.5111
2016-10-06 12:54:58.062,3,1.5089
2016-10-06 12:54:58.093,4,1.5095
2016-10-06 12:54:58.125,5,1.5072
2016-10-06 12:54:58.156,6,1.5058
2016-10-06 12:54:58.187,7,1.5029
2016-10-06 12:54:58.218,8,1.5018
2016-10-06 12:54:58.250,9,1.4991
2016-10-06 12:54:58.281,10,1.4956
